"presence","x","y","cells","chl_mean_surf","o2_mean_surf","sithick_mean_surf","sithick_min_surf","sws_mean_surf","so_mean_benth","sws_mean_benth","sws_min_benth","sws_max_benth","aspect","bathymetry_mean","terrain_ruggedness_index","selected","fold"
0,37.1750012607206,-54.2250005843792,2293944,0.393186956644058,342.645751953125,0.000947924389038235,0,0.113706715404987,34.6657104492188,0.00237015634775162,0.12936444580555,0.153234079480171,287.267242431641,-4820.77783203125,11.9861450195312,TRUE,2
0,91.7250031106819,-54.2250005843792,2295035,0.377504765987396,325.149658203125,0.00026554602663964,0,0.147089332342148,34.6821746826172,0.0437880903482437,0.209127634763718,0.221078902482986,71.9208450317383,-4524.361328125,31.982666015625,TRUE,2
0,117.925003999206,-54.2250005843792,2295559,0.3475202023983,330.974304199219,6.51851814836846e-06,0,0.0859137549996376,34.6864700317383,0.00880078598856926,0.0987697243690491,0.0762496292591095,168.359634399414,-4214.72216796875,54.288330078125,TRUE,1
0,155.075005259079,-54.2250005843792,2296302,0.348698228597641,303.507629394531,0,0,0.204625934362411,34.7149925231934,0.0454226173460484,0.251839458942413,0.375677555799484,75.0927886962891,-4092.63891601562,48.1319274902344,TRUE,1
0,155.875005286209,-54.2250005843792,2296318,0.349418342113495,304.649536132812,0,0,0.163482695817947,34.7154388427734,0.0261393636465073,0.2817123234272,0.22971011698246,302.840545654297,-4183.02783203125,37.3820190429688,TRUE,1
0,-111.875003794031,-54.2750005814277,2298163,0.343430072069168,301.894897460938,0,0,0.117880940437317,34.717456817627,0.0131002496927977,0.0778860375285149,0.0983549058437347,61.5473747253418,-3630.3056640625,45.9374694824219,TRUE,1
0,-43.2750014675907,-54.2750005814277,2299535,0.394198358058929,336.814575195312,0.000782922084908932,0,0.0901235938072205,34.6967430114746,0.0531778335571289,0.039688766002655,0.155875518918037,157.040710449219,-3252.58325195312,188.149291992188,TRUE,2
0,-26.2250008893718,-54.2750005814277,2299876,0.356393754482269,354.777618408203,0.0120023414492607,0,0.0943894758820534,34.660457611084,0.0214916542172432,0.0908268764615059,0.154607221484184,289.584838867188,-5189.361328125,40.0242919921875,TRUE,2
0,76.8250026053762,-54.2750005814277,2301937,0.428901553153992,342.455780029297,0.00126760918647051,0,0.0556996650993824,34.7609024047852,0.0379766039550304,0.0608381628990173,0.112458728253841,71.3385238647461,-1399.66662597656,58.138916015625,TRUE,2
0,80.6250027342461,-54.2750005814277,2302013,0.438780844211578,346.002502441406,0.00536309648305178,0,0.0105666294693947,34.6831245422363,0.0273445434868336,0.116373099386692,0.0391072630882263,302.10302734375,-3865.08325195312,364.267364501953,TRUE,1
